comm_no,strategy,contract,lot
m,fl34_dlm_day,m1705,1
jd,fl34_dljd_day,jd1705,3
jd,fl36_dljd_day,jd1705,1
jd,fd10_dljd_day,jd1705,1
a,fl34_dla_day,a1705,2
a,fl36_dla_day,a1705,2
a,fw10_dla_day,a1705,2
a,fd10_dla_day,a1705,1
v,fl34_dlv_day,v1705,6
v,fl36_dlv_day,v1705,3
v,fw10_dlv_day,v1705,3
l,fd10_dll_day,l1705,1
i,fl34_dli_day,i1705,20
i,fl36_dli_day,i1705,10
m,fl36_dlm_day,m1705,3
