comm_no,strategy,contract,lot
ru,fl34_ru_day,ru1709,5
ru,fl36_ru_day,ru1709,5
ru,fl60_ru_day,ru1709,4
zn,fl34_zn_day,zn1705,8
zn,fl36_zn_day,zn1705,10
zn,fl60_zn_day,zn1705,5
rb,fl36_rb_day,rb1710,10
rb,fl60_rb_day,rb1710,10
pb,fl34_pb_day,pb1705,2
pb,fl35_pb_day,pb1705,2
pb,fl60_pb_day,pb1705,2
au,fl34_au_day,au1706,10
au,fl36_au_day,au1706,7
au,fl60_au_day,au1706,7
cu,fl34_cu_day,cu1705,4
cu,fl60_cu_day,cu1705,4
al,fl60_al_day,al1705,2
al,fl34_al_day,al1705,2
