comm_no,strategy,contract,lot
zzsr,fl34_zzsr_night,SR705,2
zzsr,fl36_zzsr_night,SR705,2
zzcf,fl34_zzcf_night,CF705,5
zzcf,fl36_zzcf_night,CF705,1
zzcf,fw10_zzcf_night,CF705,5
zzma,fl34_zzma_night,MA705,2
zzta,fl34_zzta_night,TA705,2
zzta,fd10_zzta_night,TA705,6
