item,strategy,contract,lot
cf,tst2_zzcf_day,CF705,1
ta,tst0_zzta_day,TA705,1
ta,tst1_zzta_day,TA705,1
ta,tst2_zzta_day,TA705,1
ta,tst5_zzta_day,TA705,1
