comm_no,strategy,contract,Lot
zzsr,fl34_zzsr_day,SR705,5
zzsr,fl36_zzsr_day,SR705,5
zzsr,fw10_zzsr_day,SR705,2
zzsr,fd10_zzsr_day,SR705,4
zzma,fl34_zzma_day,MA705,4
zzma,fw10_zzma_day,MA705,2
zzma,fd10_zzma_day,MA705,10
zzrm,fl36_zzrm_day,RM705,10
zzrm,fd10_zzrm_day,RM705,10
zzcf,fl34_zzcf_day,CF705,1
zzcf,fl36_zzcf_day,CF705,5
zzcf,fw10_zzcf_day,CF705,6
zzta,fl34_zzta_day,TA705,10
zzta,fl36_zzta_day,TA705,10
zzta,fw10_zzta_day,TA705,5
zzzc,fd10_zzzc_day,ZC705,2
