20170217|shag|0|2.767|1.967|6.6|82|4226.5|no result
20170217|shal|0|4.336|3.103|11.22|27|2873.5|no result
20170217|shau|0|10000|0|-143.95|100|5526.5|no result
20170217|shcu|0|4.399|1.967|9.95|15|4872.5|no result
20170217|shhc|0|7.654|3.957|5.89|6|3653.5|no result
20170217|shni|0|8.206|3.264|20.97|5|9040.5|no result
20170217|shpb|0|8.742|2.72|14.25|4|3798|no result
20170217|shrb|0|1000|0|3.76|40|3380.5|no result
20170217|shru|0|10000|0|-111.82|8|4063.5|no result
20170217|shzn|0|7.586|3.839|12.55|10.5|4666.5|no result
