comm_no,strategy,contract,lot
ni,st134b_ni_night,ni1709,1
zn,st134b_zn_night,zn1706,3
pb,st134b_pb_night,pb1706,1
al,st134b_al_night,al1706,2
zn,st136b_zn_night,zn1706,4
zn,st160b_zn_night,zn1706,4
pb,st160b_pb_night,pb1706,1
zn,st162b_zn_night,zn1706,4
pb,st162b_pb_night,pb1706,1
al,st162b_al_night,al1706,2
zn,st163b_zn_night,zn1706,4
pb,st163b_pb_night,pb1706,1
zn,st171b_zn_night,zn1706,4
pb,st171b_pb_night,pb1706,1
zn,st175b_zn_night,zn1706,3
ru,st175b_ru_night,ru1709,1
zn,st177b_zn_night,zn1706,4
zn,nosig_zn_night,zn1706,1
